32	0x20	 	429431	3800575	por	As pétalas da rosa são muito delicadas.	muriloricci	2015-01-26 15:53:02	2015-01-26 15:53:02
285	0x11d	ĝ	7	6211134	por	Usamos a palavra "ĝi" quando não estamos falando nem de um homem, nem de uma mulher, mas de algo que não tem sexo ou cujo sexo é para nós desconhecido ou indiferente. Consequentemente, podemos quase sempre usar muito bem esta palavra em lugar de "tio", cujo sentido é quase o mesmo.	carlosalberto	2017-08-25 21:08:58	2017-08-25 21:08:58
293	0x125	ĥ	2	1163401	por	As tipografias que não tiverem as letras “ĉ”, “ĝ”, “ĥ”, “ĵ”, “ŝ, “ŭ” poderão, em vez delas, usar “ch”, “gh”, “hh”, “jh”, “sh”, “u”.	tulio	2011-10-08 01:51:07	2011-10-08 01:51:07
305	0x131	ı	1	5883585	por	Os problemas de Fadıl e Layla chegaram ao ponto de se tornar insolúveis.	sergiomelo	2017-02-19 14:53:53	\N
309	0x135	ĵ	4	1162672	por	A camisas, colarinhos, punhos e demais objetos semelhantes nós damos o nome de “tolaĵo” (roupa-branca), embora não sejam feitos sempre de “tolo” (tecido de linho, cânhamo e outros).	tulio	2011-10-08 01:50:52	2011-10-08 01:50:52
322	0x142	ł	4	4343888	por	Em Płock, uma noite, ele atendeu chamado da casa de uma família rica. No leito uma senhora de idade, rodeada de três médicos. Estado desesperador. Dois dias depois ela faleceu. Aos quatro médicos convocados os filhos enviaram um elevado pagamento. Zamenhof recusou o seu. Por que aceitar dinheiro se a paciente havia morrido?	carlosalberto	2015-07-06 17:35:05	2015-07-06 17:39:52
326	0x146	ņ	1	1176097	por	Andris Bērziņš será o novo presidente da Letônia.	paula_guisard	2011-10-14 16:34:15	2011-10-14 16:34:15
333	0x14d	ō	2	5362898	por	Um dos maiores aplausos da noite aconteceu quando apareceu Shinzō Abe, primeiro ministro do Japão, vestido como o personagem de videogame Super Mario, subindo por um tubo verde gigantesco até o estádio do Maracanã.	carlosalberto	2016-08-22 17:14:15	2016-08-22 17:14:15
349	0x15d	ŝ	5	1163433	por	Pronomes pessoais: “mi”, “vi”, “li”, “ŝi”, “ĝi” (para objeto ou animal), “si”, “ni”, “vi”, “ili”, “oni”; os possessivos formam-se pelo acréscimo da terminação adjetiva.	tulio	2011-10-08 01:51:08	2011-10-08 01:51:08
351	0x15f	ş	1	6216594	por	Tem um estudante turco na escola de Magdalena. Se chama Reşit.	weyung	2017-08-30 02:11:30	2017-08-30 02:11:30
353	0x161	š	4	4225280	por	Meu nome é Dušana.	carloseperola	2015-05-25 19:57:18	2015-05-25 19:57:18
363	0x16b	ū	2	9961090	por	O Parlamento Japonês oficializou hoje Ryūtarō Hashimoto como o 52º primeiro ministro.	Ricardo14	2021-04-16 00:49:24	2021-04-16 00:49:24
365	0x16d	ŭ	4	1163425	por	Os numerais fundamentais (não se declinam) são: “unu”, “du”, “tri”, “kvar”, “kvin”, “ses”, “sep”, “ok”, “naŭ”, “dek”, “cent”, “mil”.	tulio	2011-10-08 01:51:08	2011-10-08 01:51:08
916	0x394	Δ	2	2069299	por	O valor de ΔH positivo indica reação endotérmica.	alexmarcelo	2012-12-10 01:28:16	2012-12-10 01:28:16
917	0x395	Ε	3	5049073	por	"A sua namorada é bem bonita!" "Εla não é a minha namorada."	Ricardo14	2016-04-07 23:48:17	2016-04-07 23:48:17
919	0x397	Η	1	7061501	por	Foi na Jônia, provavelmente no século VII a.C., que os gregos adotaram o símbolo Η para representar o e longo.	alexmarcelo	2018-08-14 20:50:24	2018-08-14 20:50:24
920	0x398	Θ	1	2583482	por	No sistema de coordenadas polares, o valor de Θ é a distância angular do eixo polar.	alexmarcelo	2013-07-11 06:11:08	2013-07-11 06:11:08
937	0x3a9	Ω	1	1773466	por	O ohm é a unidade de resistência elétrica do SI. Seu símbolo é Ω.	alexmarcelo	2012-08-14 02:13:41	2012-08-14 02:13:41
941	0x3ad	έ	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
945	0x3b1	α	1	993491	por	Não, isso não está certo. É preciso pôr α igual a β.	alexmarcelo	2011-07-16 07:27:35	2011-07-16 07:27:35
946	0x3b2	β	1	993491	por	Não, isso não está certo. É preciso pôr α igual a β.	alexmarcelo	2011-07-16 07:27:35	2011-07-16 07:27:35
951	0x3b7	η	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
953	0x3b9	ι	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
955	0x3bb	λ	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
957	0x3bd	ν	1	7090246	por	Os nomes acabados em -ον e -ων são do gênero neutro.	alexmarcelo	2018-08-25 15:26:41	2018-08-25 15:26:41
959	0x3bf	ο	3	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
960	0x3c0	π	15	11088143	por	Ao longo dos séculos, matemáticos, cientistas e outros têm desfrutado do desafio de tentar calcular o π até o mais longe possível da vírgula decimal.	Cangarejo	2022-08-30 18:11:21	2022-08-30 18:11:21
961	0x3c1	ρ	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
962	0x3c2	ς	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
963	0x3c3	σ	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
964	0x3c4	τ	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
969	0x3c9	ω	1	7090246	por	Os nomes acabados em -ον e -ων são do gênero neutro.	alexmarcelo	2018-08-25 15:26:41	2018-08-25 15:26:41
1040	0x410	А	1	5472857	por	Аcho que está funcionando.	carlosalberto	2016-09-26 14:56:16	2016-09-26 14:56:16
1071	0x42f	Я	2	2768508	por	"Являлся" — eis uma linda palavra, onde parece que a letra "я" dança uma valsa com a letra "л".	carlosalberto	2013-10-01 15:14:00	2013-10-01 15:14:00
1072	0x430	а	4	8848727	por	Traduções literais podem ser traiçoeiras. Por exemplo, quando um russo diz "тоска зелёная", ele não quer dizer que "a saudade é verde", mas, na verdade, que ele considera, ou considerou, aborrecida ou enfadonha alguma coisa.	carlosalberto	2020-06-16 13:56:00	2020-06-16 13:56:00
1074	0x432	в	2	6886026	por	Em Russo, eu não posso dizer "eu falei" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya gavaril [я говорил] – ou uma mulher – Ya gavarila [я говорила].	carlosalberto	2018-05-11 01:35:40	2018-05-11 01:35:40
1075	0x433	г	1	6886026	por	Em Russo, eu não posso dizer "eu falei" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya gavaril [я говорил] – ou uma mulher – Ya gavarila [я говорила].	carlosalberto	2018-05-11 01:35:40	2018-05-11 01:35:40
1076	0x434	д	1	6885991	por	Em Russo, eu não posso dizer "eu nasci" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya radilsa [я родился] – ou uma mulher – Ya radilás [я родилась].	carlosalberto	2018-05-11 00:51:32	2018-05-11 01:16:50
1077	0x435	е	4	6885226	por	Em Russo, eu não posso dizer "eu vim" sem, simultaneamente, deixar claramente subentendido que eu sou um homem – Ya prishol [Я пришел] – ou uma mulher – Ya prishlá [Я пришлa] .	carlosalberto	2018-05-10 12:16:10	2018-05-10 12:16:10
1079	0x437	з	1	8848727	por	Traduções literais podem ser traiçoeiras. Por exemplo, quando um russo diz "тоска зелёная", ele não quer dizer que "a saudade é verde", mas, na verdade, que ele considera, ou considerou, aborrecida ou enfadonha alguma coisa.	carlosalberto	2020-06-16 13:56:00	2020-06-16 13:56:00
1080	0x438	и	5	6886016	por	Em Russo, eu não posso dizer "eu comprei" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya kupil [я купил] – ou uma mulher – Ya kupila [я купила].	carlosalberto	2018-05-11 01:27:35	2018-05-11 01:27:35
1082	0x43a	к	2	8848727	por	Traduções literais podem ser traiçoeiras. Por exemplo, quando um russo diz "тоска зелёная", ele não quer dizer que "a saudade é verde", mas, na verdade, que ele considera, ou considerou, aborrecida ou enfadonha alguma coisa.	carlosalberto	2020-06-16 13:56:00	2020-06-16 13:56:00
1083	0x43b	л	7	6886016	por	Em Russo, eu não posso dizer "eu comprei" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya kupil [я купил] – ou uma mulher – Ya kupila [я купила].	carlosalberto	2018-05-11 01:27:35	2018-05-11 01:27:35
1084	0x43c	м	1	8181720	por	A frase #3559685 de Soweli_Elepanto me fez pensar que Zamenhof atribuiu ao advérbio "nome", em Esperanto, o significado de "exatamente", por influência da palavra russa "именно", possivelmente derivada de "имя" (nome).	carlosalberto	2019-09-11 22:44:18	2024-02-04 19:56:44
1085	0x43d	н	2	8181720	por	A frase #3559685 de Soweli_Elepanto me fez pensar que Zamenhof atribuiu ao advérbio "nome", em Esperanto, o significado de "exatamente", por influência da palavra russa "именно", possivelmente derivada de "имя" (nome).	carlosalberto	2019-09-11 22:44:18	2024-02-04 19:56:44
1086	0x43e	о	5	11058881	por	Em Toki Pona, "telo" significa "água". Em Russo, "тело" significa "corpo". E a água é o principal constituinte do corpo (humano).	carlosalberto	2022-08-13 10:58:50	2022-08-13 10:58:50
1087	0x43f	п	2	6885226	por	Em Russo, eu não posso dizer "eu vim" sem, simultaneamente, deixar claramente subentendido que eu sou um homem – Ya prishol [Я пришел] – ou uma mulher – Ya prishlá [Я пришлa] .	carlosalberto	2018-05-10 12:16:10	2018-05-10 12:16:10
1088	0x440	р	3	6885226	por	Em Russo, eu não posso dizer "eu vim" sem, simultaneamente, deixar claramente subentendido que eu sou um homem – Ya prishol [Я пришел] – ou uma mulher – Ya prishlá [Я пришлa] .	carlosalberto	2018-05-10 12:16:10	2018-05-10 12:16:10
1089	0x441	с	3	6885991	por	Em Russo, eu não posso dizer "eu nasci" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya radilsa [я родился] – ou uma mulher – Ya radilás [я родилась].	carlosalberto	2018-05-11 00:51:32	2018-05-11 01:16:50
1090	0x442	т	2	8848727	por	Traduções literais podem ser traiçoeiras. Por exemplo, quando um russo diz "тоска зелёная", ele não quer dizer que "a saudade é verde", mas, na verdade, que ele considera, ou considerou, aborrecida ou enfadonha alguma coisa.	carlosalberto	2020-06-16 13:56:00	2020-06-16 13:56:00
1091	0x443	у	1	6886016	por	Em Russo, eu não posso dizer "eu comprei" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya kupil [я купил] – ou uma mulher – Ya kupila [я купила].	carlosalberto	2018-05-11 01:27:35	2018-05-11 01:27:35
1096	0x448	ш	1	6885226	por	Em Russo, eu não posso dizer "eu vim" sem, simultaneamente, deixar claramente subentendido que eu sou um homem – Ya prishol [Я пришел] – ou uma mulher – Ya prishlá [Я пришлa] .	carlosalberto	2018-05-10 12:16:10	2018-05-10 12:16:10
1100	0x44c	ь	1	6885991	por	Em Russo, eu não posso dizer "eu nasci" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya radilsa [я родился] – ou uma mulher – Ya radilás [я родилась].	carlosalberto	2018-05-11 00:51:32	2018-05-11 01:16:50
1103	0x44f	я	6	6886026	por	Em Russo, eu não posso dizer "eu falei" sem, simultaneamente, deixar subentendido que eu sou um homem – Ya gavaril [я говорил] – ou uma mulher – Ya gavarila [я говорила].	carlosalberto	2018-05-11 01:35:40	2018-05-11 01:35:40
1105	0x451	ё	1	8848727	por	Traduções literais podem ser traiçoeiras. Por exemplo, quando um russo diz "тоска зелёная", ele não quer dizer que "a saudade é verde", mas, na verdade, que ele considera, ou considerou, aborrecida ou enfadonha alguma coisa.	carlosalberto	2020-06-16 13:56:00	2020-06-16 13:56:00
7944	0x1f08	Ἀ	1	2457794	por	Aristóteles (ou "Ἀριστοτέλης", em grego clássico) foi um grande filósofo grego que viveu entre 384 e 322 a.C.	Ricardo14	2013-05-26 21:27:24	2013-07-11 04:06:01
8203	0x200b	​	19	8832938	por	Você devorou ​​todos os biscoitos!	RochaAr	2020-06-10 17:17:59	2020-06-10 17:17:59
8206	0x200e	‎	14	5902106	por	Eles vêm de vários países.‎	astru	2017-02-26 16:26:11	\N
8210	0x2012	‒	6	10768022	por	Os Nacionais de Washington derrotaram os Astros de Houston por 6‒2 na quarta-feira no sétimo jogo decisivo da Série Mundial, conquistando o seu primeiro campeonato da Liga Principal de Beisebol em toda a história da franquia.	Cangarejo	2022-04-14 21:30:02	2024-02-03 14:54:46
8211	0x2013	–	300	4350870	por	Quando o Sol morrer um dia, no universo – que tristeza! Onde a vida que existia? Nenhuma lâmpada acesa...	carlosalberto	2015-07-08 18:58:54	2018-05-11 19:37:15
8212	0x2014	—	883	3856399	por	Não há nada mais difícil do que ter paciência consigo mesmo — suportar seus próprios defeitos.	carlosalberto	2015-02-10 03:26:37	2015-02-10 03:26:37
8216	0x2018	‘	7	11123389	por	“Todas as células vivas levam a cabo divisões celulares e a habilidade única do palbociclib de travar o processo de divisão celular (também conhecido como ‘ciclo celular’) tem, portanto, uma aplicabilidade potencialmente ampla”, disse a autora principal Amy S. Clark, MD, MSCE, professora assistente de Hematologia / Oncologia na Faculdade Perelman de Medicina e no Centro Oncológico Abramson da Universidade da Pensilvânia.	Cangarejo	2022-09-17 19:25:58	2022-11-10 17:12:08
8217	0x2019	’	19	11119211	por	O trabalho de Mirzakhani é considerado ‘matemática pura’, envolvendo o entendimento teórico da simetria de espaços curvos e objetos hiperbólicos, mas os resultados dela poderão também ter implicações práticas na física quântica.	Cangarejo	2022-09-15 18:43:04	2023-01-03 18:35:39
8220	0x201c	“	394	1154306	por	“De que vem isso, minha filha?”	tulio	2011-10-05 23:52:13	2011-10-05 23:52:13
8221	0x201d	”	384	11202114	por	A denominada “tração animal” não é uma tradição congolesa, mas a Organização das Nações Unidas para a Alimentação e Agricultura (OAA) diz que em áreas onde as estradas são más, ela poderia aliviar as costas das pessoas — especialmente das mulheres.	Cangarejo	2022-10-23 18:16:42	2022-10-24 21:29:38
8230	0x2026	…	16	1006105	por	Se eu fosse mais jovem…	alexmarcelo	2011-07-24 18:35:04	2011-07-25 02:02:43
8242	0x2032	′	1	11305432	por	Qualquer evento deste tipo é representado relativamente ao sistema de coordenadas K pela abscissa x e pelo instante t e relativamente ao sistema K′ pela abscissa x′ e pelo instante t′.	Cangarejo	2022-12-07 19:13:58	2022-12-08 17:13:17
8243	0x2033	″	1	1076900	por	Tenho uma TV de 30″.	alexmarcelo	2011-09-01 22:29:59	2011-09-01 22:29:59
8304	0x2070	⁰	2	2775865	por	Encontre o resto da divisão de 2²⁰¹³ por 3.	carlosalberto	2013-10-06 13:46:42	2020-03-28 00:28:25
8320	0x2080	₀	1	10960217	por	Se se conceber que quatro pontos espaciais, que não se situam num plano, se encontram no mesmo instante t₀, então já não é permitido fazer uma alteração ao parâmetro do tempo por uma transformação de Lorentz, sem ao mesmo tempo destruir o carácter de simultaneidade destes quatro pontos espaciais.	Cangarejo	2022-07-03 11:57:36	2022-07-17 10:47:24
8322	0x2082	₂	11	12300104	por	Uma vez libertado na atmosfera, o CO₂ perdura durante décadas, ao contrário de outros poluentes que provocam o aquecimento global, como o metano e o carbono negro, ou fuligem. A fuligem é um subproduto da combustão ineficiente, que é um grande problema nos países em desenvolvimento com fogões que utilizam madeira, estrume ou carvão. A fuligem permanece no ar apenas durante alguns dias. O metano, um gás libertado por aterros sanitários, explorações agrícolas, minas e poços de gás natural, permanece na atmosfera durante cerca de uma década.	Cangarejo	2024-02-04 15:57:48	2024-02-04 15:57:48
8364	0x20ac	€	4	347647	por	Eu ganho €100 por dia.	tinacalysto	2010-01-05 18:29:53	2010-01-05 18:29:53
8712	0x2208	∈	1	4196391	por	Seja o conjunto C = {1, 2, 3, 4, 5}. A relação de pertinência entre 3 e C é expressa por a ∈ C, pois o elemento 3 pertence ao conjunto C.	alexmarcelo	2015-05-17 15:50:28	2015-05-17 15:50:28
8722	0x2212	−	4	11979193	por	Resolva esta equação cúbica: x³ + 2x² − x − 2 = 0.	ajdavidl	2023-08-04 00:48:23	2023-08-04 00:48:23
9633	0x25a1	□	2	1303131	por	Você quer ser a minha namorada? □ Sim. □ Não. □ Talvez.	alexmarcelo	2011-12-16 16:07:49	2011-12-16 16:07:49
9815	0x2657	♗	2	9967632	por	Ruy López de Segura, sacerdote e famoso enxadrista espanhol do século 16, escreveu um livro de 150 páginas, chamado Libro del Ajedrez, sobre os exaustivos estudos que fez sobre a abertura (1.e4 e5 2.♘f3 ♘c6 3.♗b5) que leva o seu nome.	carlosalberto	2021-04-18 11:16:27	2021-04-18 11:47:09
9816	0x2658	♘	2	9967632	por	Ruy López de Segura, sacerdote e famoso enxadrista espanhol do século 16, escreveu um livro de 150 páginas, chamado Libro del Ajedrez, sobre os exaustivos estudos que fez sobre a abertura (1.e4 e5 2.♘f3 ♘c6 3.♗b5) que leva o seu nome.	carlosalberto	2021-04-18 11:16:27	2021-04-18 11:47:09
10005	0x2715	✕	1	11715243	por	Empatado (6 ✕ 6) o match pelo Campeonato Mundial de Xadrez FIDE 2023, com a vitória de Ding Liren (Brancas) na décima segunda partida. Restam apenas mais dois jogos para que um dos concorrentes alcance a vantagem decisiva.	carlosalberto	2023-04-26 13:37:26	2023-05-06 13:47:14
10140	0x279c	➜	1	12197776	por	Álgebra elementar: a) seja x o número de frases em galego; b) seja x + 700 o número de frases em romeno; c) hoje, x + 700 = 2x; d) qual é o valor de x ? Solução: 2x = x + 700 ➜ 2x - x = 700 ➜ x = 700. Conclusão: hoje há 700 frases em galego e 1.400 frases em romeno.	carlosalberto	2023-12-06 19:17:52	2023-12-06 19:20:05
10799	0x2a2f	⨯	1	6467146	por	a⨯b pode ser abreviado como ab.	heo598	2017-11-16 13:50:15	2017-11-16 13:50:15
65281	0xff01	！	1	5200198	por	Morra！	mymi	2016-06-08 02:53:00	2016-06-08 02:53:00
65311	0xff1f	？	2	5436310	por	Quanto tempo você gastou para escrever este relatório？	Noktuo	2016-09-13 21:26:17	2016-09-13 21:26:17
128578	0x1f642	🙂	1	12219848	por	No domingo de manhã, a maior parte de nós estava a falar no Skype ou a telefonar para casa, no momento em que as nossas famílias faziam os seus jantares de reencontro (manhã nos Estados Unidos é noite no meu país). A minha família lembrou-me que, apesar de ser o meu primeiro Ano Novo Chinês sem "yee sang", eles iriam guardar os meus "ang pows" para mim quando eu voltasse. Esperemos que sim! 🙂	Cangarejo	2023-12-20 12:01:00	2023-12-20 12:01:00
